dataset,source_file,object_id,quarter,time,flux,flux_err,quality,flux_norm,is_anomaly
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.55063248480292,501508.3125,20.696781158447266,0.0,-2.769321932620347,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.55063248480292,501508.3125,20.696781158447266,0.0,-2.769321932620347,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.5710666855084,501498.28125,20.709224700927734,0.0,-2.7700639347616214,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.5710666855084,501498.28125,20.709224700927734,0.0,-2.7700639347616214,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.59150088609022,501566.0,20.696727752685547,0.0,-2.765054842424731,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.59150088609022,501566.0,20.696727752685547,0.0,-2.765054842424731,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.6119350867957,501553.5625,20.70094108581543,0.0,-2.765974832618585,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.6119350867957,501553.5625,20.70094108581543,0.0,-2.765974832618585,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.63236928726838,501539.25,20.70771026611328,0.0,-2.767033514801463,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.63236928726838,501539.25,20.70771026611328,0.0,-2.767033514801463,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.65280348773376,501529.65625,20.684911727905273,0.0,-2.767743155478632,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.65280348773376,501529.65625,20.684911727905273,0.0,-2.767743155478632,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.67323768820643,501562.25,20.696514129638672,0.0,-2.7653322264027773,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.67323768820643,501562.25,20.696514129638672,0.0,-2.7653322264027773,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.69367188856268,501540.8125,20.71194076538086,0.0,-2.7669179381439433,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.69367188856268,501540.8125,20.71194076538086,0.0,-2.7669179381439433,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.71410608879523,501567.0625,20.71064567565918,0.0,-2.7649762502976176,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.71410608879523,501567.0625,20.71064567565918,0.0,-2.7649762502976176,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.73454028915148,501529.90625,20.7080078125,0.0,-2.767724663213429,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.73454028915148,501529.90625,20.7080078125,0.0,-2.767724663213429,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.7549744892749,501533.78125,20.698209762573242,0.0,-2.767438033102781,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.7549744892749,501533.78125,20.698209762573242,0.0,-2.767438033102781,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.77540868939104,501578.6875,20.711702346801758,0.0,-2.7641163599656733,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.77540868939104,501578.6875,20.711702346801758,0.0,-2.7641163599656733,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.79584298951522,501588.5625,20.693326950073242,0.0,-2.763385915490151,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.79584298951522,501588.5625,20.693326950073242,0.0,-2.763385915490151,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.81627708952146,501549.8125,20.696640014648438,0.0,-2.766252216596632,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.81627708952146,501549.8125,20.696640014648438,0.0,-2.766252216596632,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.8367112895212,501540.6875,20.697616577148438,0.0,-2.766927184276545,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.8367112895212,501540.6875,20.697616577148438,0.0,-2.766927184276545,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.85714548941178,501521.1875,20.69068145751953,0.0,-2.768369580962387,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.85714548941178,501521.1875,20.69068145751953,0.0,-2.768369580962387,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.87757968918595,501502.875,20.712675094604492,0.0,-2.7697241393885146,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.87757968918595,501502.875,20.712675094604492,0.0,-2.7697241393885146,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.89801388895285,501452.15625,20.6966552734375,0.0,-2.773475757691594,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.89801388895285,501452.15625,20.6966552734375,0.0,-2.773475757691594,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.91844808872702,501448.375,20.684677124023438,0.0,-2.773755453202791,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.91844808872702,501448.375,20.684677124023438,0.0,-2.773755453202791,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.93888228838478,501495.9375,20.709585189819336,0.0,-2.7702372997479006,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.93888228838478,501495.9375,20.709585189819336,0.0,-2.7702372997479006,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.95931648803526,501529.3125,20.693883895874023,0.0,-2.7677685823432863,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.95931648803526,501529.3125,20.693883895874023,0.0,-2.7677685823432863,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.9797506875766,501569.03125,20.703834533691406,0.0,-2.7648306237091433,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,129.9797506875766,501569.03125,20.703834533691406,0.0,-2.7648306237091433,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,130.00018478700076,501511.34375,20.7038631439209,0.0,-2.7690977139047592,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,130.00018478700076,501511.34375,20.7038631439209,0.0,-2.7690977139047592,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,130.02061908641917,501569.875,20.70345115661621,0.0,-2.764768212314083,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,130.02061908641917,501569.875,20.70345115661621,0.0,-2.764768212314083,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,130.0410532858441,501507.875,20.704246520996094,0.0,-2.769354294084452,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,130.0410532858441,501507.875,20.704246520996094,0.0,-2.769354294084452,False
medium,kplr011904151-2009131105131_llc.fits,11904151,-1,130.06148738515185,501529.375,20.701473236083984,0.0,-2.7677639592769854,False
